Lead_ID,Name,Email_Source,Contacted,Engagement_Score,Location,Profession,Course_Interest,Follow_Up_Count,Converted
L0001,Vihaan Sharma,Email,Yes,29,Pune,Freelancer,Data Science - Beginner,5,0
L0002,Shruti Das,Social Media,Yes,12,Delhi,Student,Data Science - Beginner,4,0
L0003,Meera Das,Website,No,76,Bangalore,Student,Data Science - Advanced,5,1
L0004,Ananya Khan,Website,Yes,98,Hyderabad,Student,Data Science - Beginner,3,0
L0005,Diya Joshi,Walk-in,No,6,Kolkata,Freelancer,Data Science - Beginner,3,0
L0006,Meera Singh,Walk-in,No,74,Delhi,Freelancer,Data Science - Beginner,0,0
L0007,Kunal Patel,Website,Yes,49,Bangalore,Working Professional,Machine Learning,1,1
L0008,Diya Mehta,Email,Yes,78,Pune,Freelancer,Data Science - Advanced,1,1
L0009,Aanya Khan,Walk-in,Yes,88,Hyderabad,Student,Data Science - Advanced,0,1
L0010,Aanya Khan,Social Media,Yes,73,Hyderabad,Student,AI & Deep Learning,3,1
L0011,Arjun Khan,Website,Yes,96,Ahmedabad,Freelancer,Machine Learning,5,1
L0012,Shruti Naidu,Email,Yes,18,Ahmedabad,Working Professional,Data Science - Beginner,0,0
L0013,Arjun Bansal,Referral,Yes,50,Chennai,Freelancer,AI & Deep Learning,4,1
L0014,Meera Sharma,Social Media,No,99,Hyderabad,Student,Machine Learning,3,0
L0015,Saanvi Sharma,Email,Yes,65,Mumbai,Freelancer,Machine Learning,5,0
L0016,Arjun Joshi,Website,Yes,77,Hyderabad,Working Professional,Data Science - Beginner,0,1
L0017,Kunal Iyer,Social Media,Yes,73,Mumbai,Student,AI & Deep Learning,0,0
L0018,Arjun Saxena,Walk-in,Yes,34,Ahmedabad,Freelancer,AI & Deep Learning,1,0
L0019,Kunal Naidu,Email,No,67,Kolkata,Student,Data Science - Advanced,1,0
L0020,Ananya Sharma,Walk-in,Yes,76,Delhi,Student,Data Science - Beginner,5,0
L0021,Krishna Patel,Social Media,No,10,Ahmedabad,Student,Machine Learning,5,1
L0022,Ishaan Shetty,Website,No,32,Kolkata,Working Professional,Data Science - Advanced,0,0
L0023,Isha Joshi,Referral,No,60,Nagpur,Freelancer,Data Science - Beginner,0,1
L0024,Ananya Reddy,Website,Yes,25,Ahmedabad,Working Professional,Data Science - Advanced,3,0
L0025,Rohan Pillai,Website,Yes,57,Ahmedabad,Student,Data Science - Beginner,5,0
